Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-03-27 21:22:43;2018-03-28 06:29:45;96%;9:07;;;0;5099
2018-03-28 23:31:40;2018-03-29 06:27:16;69%;6:55;;;0;3546
2018-03-29 23:17:14;2018-03-30 06:30:29;81%;7:13;;;0;4197
2018-03-31 07:00:42;2018-03-31 11:30:08;51%;4:29;;;0;0
2018-03-31 22:23:10;2018-04-01 07:30:17;84%;9:07;;;0;7067
2018-04-01 23:29:44;2018-04-02 07:09:40;88%;7:39;;;0;2137
2018-04-02 22:49:57;2018-04-03 06:31:04;79%;7:41;;;0;3315
2018-04-03 22:07:39;2018-04-04 03:24:39;59%;5:17;;;0;4999
2018-04-04 22:49:17;2018-04-05 06:28:54;88%;7:39;;;0;3144
2018-04-05 23:08:15;2018-04-06 06:30:12;81%;7:21;;;0;4966
2018-04-06 22:53:40;2018-04-07 07:48:41;93%;8:55;;;0;7128
2018-04-08 02:13:04;2018-04-08 09:14:15;85%;7:01;;;0;4606
2018-04-08 23:43:02;2018-04-09 06:29:50;81%;6:46;;;0;1766
2018-04-09 23:15:50;2018-04-10 06:15:09;83%;6:59;;;0;3455
2018-04-11 01:02:57;2018-04-11 07:40:48;76%;6:37;;;0;6756
2018-04-11 22:48:55;2018-04-12 06:29:56;88%;7:41;;;0;6243
2018-04-14 01:25:58;2018-04-14 07:37:10;66%;6:11;;;0;6203
2018-04-15 23:00:33;2018-04-16 06:29:40;76%;7:29;;;0;3516
2018-04-16 22:48:15;2018-04-17 06:29:05;81%;7:40;;;0;3874
2018-04-19 22:51:57;2018-04-20 07:30:20;85%;8:38;;;0;1239
2018-04-20 23:18:51;2018-04-21 07:30:42;84%;8:11;;;0;3531
2018-04-22 01:29:49;2018-04-22 08:29:36;71%;6:59;;;0;9385
2018-04-22 22:20:15;2018-04-23 07:29:41;89%;9:09;;;0;1774
2018-04-23 22:29:54;2018-04-24 03:46:55;49%;5:17;;;0;5481
2018-04-24 22:54:30;2018-04-25 07:00:33;88%;8:06;;;0;3554
2018-04-25 23:48:05;2018-04-26 07:30:05;84%;7:42;;;0;3926
2018-04-27 00:33:51;2018-04-27 07:30:19;66%;6:56;;;0;3786
2018-04-28 00:34:11;2018-04-28 08:29:51;58%;7:55;;;0;11483
2018-04-28 23:39:48;2018-04-29 07:35:36;62%;7:55;;;0;1690
2018-04-29 22:58:15;2018-04-30 07:32:17;85%;8:34;;;0;4799
2018-04-30 23:35:16;2018-05-01 07:35:16;69%;8:00;;;0;4976
2018-05-01 22:25:02;2018-05-02 07:36:04;68%;9:11;;;0;1056
2018-05-02 23:08:09;2018-05-03 07:34:18;70%;8:26;;;0;771
2018-05-03 22:21:56;2018-05-04 07:33:32;63%;9:11;;;0;578
2018-05-04 22:52:54;2018-05-05 07:35:39;82%;8:42;;;0;1019
2018-05-06 02:33:16;2018-05-06 09:30:02;71%;6:56;;;0;7913
2018-05-07 05:23:43;2018-05-07 11:29:48;70%;6:06;;;0;9091
2018-05-10 23:52:08;2018-05-11 06:15:51;63%;6:23;;;0;3611
2018-05-13 22:14:27;2018-05-14 06:17:40;71%;8:03;;;0;1928
2018-05-14 22:55:19;2018-05-15 06:20:19;70%;7:25;;;0;6827
2018-05-15 23:04:18;2018-05-16 06:18:44;53%;7:14;;;0;6285
2018-05-17 01:15:46;2018-05-17 06:18:15;45%;5:02;;;0;6351
2018-05-17 23:48:26;2018-05-18 09:30:52;68%;9:42;;;0;5664
2018-05-19 00:06:38;2018-05-19 08:59:44;80%;8:53;;;0;920
2018-05-20 02:56:33;2018-05-20 09:35:30;72%;6:38;;;0;2397
2018-05-20 22:33:12;2018-05-21 06:19:36;74%;7:46;;;0;11608
2018-05-22 00:42:54;2018-05-22 06:19:01;63%;5:36;;;0;13278
2018-05-23 00:05:41;2018-05-23 06:40:52;72%;6:35;;;0;5431
2018-05-24 00:42:29;2018-05-24 06:10:23;47%;5:27;;;0;11037
2018-05-25 00:24:13;2018-05-25 08:50:42;67%;8:26;;;0;10153
2018-05-26 01:44:45;2018-05-26 09:44:54;86%;8:00;;;0;4112
2018-05-26 23:53:19;2018-05-27 08:00:03;86%;8:06;;;0;8501
2018-05-27 22:44:38;2018-05-28 06:49:27;94%;8:04;;;0;526
2018-05-29 00:32:31;2018-05-29 06:37:23;78%;6:04;;;0;1614
2018-05-29 23:01:08;2018-05-30 06:39:09;61%;7:38;;;0;8919
2018-05-31 01:28:16;2018-05-31 06:23:24;60%;4:55;;;0;8607
2018-05-31 22:54:13;2018-06-01 07:26:58;92%;8:32;;;0;5553
2018-06-01 22:16:33;2018-06-02 07:15:35;72%;8:59;;;0;1723
2018-06-02 23:40:43;2018-06-03 07:59:59;95%;8:19;;;0;2402
2018-06-03 23:54:03;2018-06-04 06:35:06;81%;6:41;;;0;617
2018-06-04 23:08:49;2018-06-05 06:17:54;86%;7:09;;;0;7099
2018-06-05 22:43:18;2018-06-06 06:33:29;90%;7:50;;;0;7140
2018-06-07 03:46:59;2018-06-07 06:35:43;36%;2:48;;;0;7923
2018-06-07 22:44:50;2018-06-08 08:18:56;100%;9:34;;;0;6671
2018-06-09 06:14:51;2018-06-09 13:04:49;77%;6:49;;;0;0
2018-06-09 22:06:40;2018-06-10 07:20:28;98%;9:13;;;0;4938
2018-06-10 21:45:41;2018-06-11 06:31:44;100%;8:46;;;0;6943
2018-06-11 22:09:00;2018-06-12 06:19:30;90%;8:10;;;0;7787
2018-06-12 22:16:00;2018-06-13 06:20:10;93%;8:04;;;0;12841
2018-06-14 01:07:47;2018-06-14 06:17:21;64%;5:09;;;0;7366
2018-06-14 21:57:25;2018-06-15 07:11:48;100%;9:14;;;0;7061
2018-06-15 22:35:26;2018-06-16 07:16:47;98%;8:41;;;0;4117
2018-06-16 22:35:59;2018-06-17 07:37:40;100%;9:01;;;0;3889
2018-06-17 22:34:53;2018-06-18 06:20:34;98%;7:45;;;0;5608
2018-06-19 00:02:46;2018-06-19 06:20:28;81%;6:17;;;0;6659
2018-06-20 01:01:35;2018-06-20 06:43:42;68%;5:42;;;0;7250
2018-06-21 00:24:40;2018-06-21 04:59:53;53%;4:35;;;0;7083
2018-06-21 22:54:33;2018-06-22 07:59:20;94%;9:04;;;0;5738
2018-06-23 02:14:14;2018-06-23 09:27:57;82%;7:13;;;0;1320
2018-06-23 23:22:01;2018-06-24 07:59:43;99%;8:37;;;0;11303
2018-06-24 22:28:42;2018-06-25 06:19:03;92%;7:50;;;0;11398
2018-06-25 22:26:53;2018-06-26 06:40:13;97%;8:13;;;0;13250
2018-06-27 00:08:57;2018-06-27 07:59:51;92%;7:50;;;0;4954
2018-06-27 22:28:40;2018-06-28 07:05:22;98%;8:36;;;0;4332
2018-06-28 21:53:37;2018-06-29 07:10:12;100%;9:16;;;0;6446
2018-06-29 22:39:41;2018-06-30 07:08:08;98%;8:28;;;0;11997
2018-06-30 23:15:49;2018-07-01 07:04:13;98%;7:48;;;0;3082
2018-07-01 23:32:55;2018-07-02 07:38:57;99%;8:06;;;0;1613
2018-07-02 22:02:29;2018-07-03 06:59:58;100%;8:57;;;0;4759
2018-07-03 22:35:27;2018-07-04 06:59:00;100%;8:23;;;0;3525
2018-07-05 00:09:49;2018-07-05 08:01:08;82%;7:51;;;0;1798
2018-07-05 21:42:48;2018-07-06 07:00:22;96%;9:17;;;0;6232
2018-07-08 22:44:21;2018-07-09 07:00:11;95%;8:15;;;0;2680
2018-07-09 21:51:07;2018-07-10 06:54:56;100%;9:03;;;0;13702
2018-07-10 23:56:04;2018-07-11 08:04:17;85%;8:08;;;0;4185
2018-07-11 23:19:09;2018-07-12 08:08:02;100%;8:48;;;0;4291
2018-07-13 00:31:24;2018-07-13 08:08:12;92%;7:36;;;0;9399
2018-07-14 01:20:07;2018-07-14 08:25:30;86%;7:05;;;0;3127
2018-07-14 23:58:19;2018-07-15 07:59:55;100%;8:01;;;0;11013
2018-07-15 23:35:26;2018-07-16 07:21:09;76%;7:45;;;0;6327
2018-07-17 01:05:45;2018-07-17 08:23:41;80%;7:17;;;0;9748
2018-07-18 00:18:44;2018-07-18 08:18:15;81%;7:59;;;0;8275
